Sent-Nr.	Yrk-tun Sentence	Yrk-tun Token	Yrk-tun Segmented	Yrk-tun Lemma	Morphologycal analysis	POS	notes	Rus-sentence-level translation	Eng-sentence-level translation
1	Маряд' мюня нудм'.							Стою за забором.	I am standing behind the fence.
		Маряд'	маря-д'	"мар"""	fence-gen.poss.2sg	NOUN			
		мюня	мюня	мюня	behind	ADP			
		нудм'.	ну-дм'	ну-	stand-1sg	VERB			
									
2	Маряд' мюня нум'.							Стою за забором.	I am standing behind the fence.
		Маряд'	маря-д'	"мар"""	fence-gen.poss.2sg	NOUN			
		мюня	мюня	мюня	behind	ADP			
		нум'.	ну-м'	ну-	stand-1sg	VERB			
									
3	Маряд' <aham> маря[] маря[] мюня нудм'.								I <aham> fence, fence behind stand.
		Маряд'	маря-д'	"мар"""	fence-gen.poss.2sg	NOUN			
		<aham>	<aham>	<aham>	<aham>	?			
		маря[]	маря-	"мар"""	fence	NOUN			
		маря[]	маря-	"мар"""	fence	NOUN			
		мюня	мюня	мюня	behind	ADP		Стою за забором.	
		Нудм'.	ну-дм'	ну-	stand-1sg	VERB			
									
4	"Тикахана сидя ты таняӈаха""."							Там есть два оленя.	There are two reindeer.
		Тикахана	тикахана	тикахана	there	ADV			
		сидя	сидя	сидя	two	NUM			
		ты	ты	ты	reindeer	NOUN			
		"таняӈаха""."	"таня-ӈа-ха"""	таня-	exist-co-3du	VERB			
									
5	Сидя тэхэ' няд маряд' нимня маряд' тяха' санэйв'.							От двух оленей я перепрыгнул за забор.	I jump over the fence, away from the two reindeer.
		Сидя	сидя	сидя	two	NUM			
		тэхэ'	тэ-хэ'	ты	reindeer-du	NOUN			
		няд	ня-д	ня'	at-abl	ADP			
		маряд'	маря-д'	"мар"""	fence-gen.poss.2sg	NOUN			
		нимня	ни-мня	нимня	top-prol	NOUN			
		маряд'	маря-д'	"мар"""	fence-gen.poss.2sg	NOUN			
		тяха'	тяха'	тяха'	over	ADP			
		санэйв'.	санэй-в'	санэй-	jump-1sg.refl	VERB			
									
6	"Сана""махадани' яда тамна тяха' нэкалӈав."							После того как я перепрыгнул, пошел дальше.	After jumping, I continue walking.
		"Сана""махадани'"	"сана-""ма-хада-ни'"	сана-	jump-pfv.an-abl-poss.1sg	NOUN	AN		
		яда	яда	яда	on.foot	ADV			
		тамна	тамна	тамна	even	ADV			
		тяха'	тяха'	тяха'	further	ADV			
		нэкалӈав.	нэкал-ӈа-в	нэкал-	pull-co-1sg.sg	VERB			
									
7	"Нерни' няна пирця харадм' манэ""ӈадм'."							Впереди я увидел высокую башню.	I see a tall tower in front of me.
		Нерни'	нер-ни'	нерни'	in.front.of-gen.1sg	ADP			
		няна	няна	няна	1sg.dat	PRON			
		пирця	пирця	пирця	tall	ADJ			
		харадм'	харад-м'	харад	house-acc	NOUN			
		"манэ""ӈадм'."	"манэ""-ӈа-дм'"	"манэ""-"	see-co-1sg	VERB			
									
8	Махалэйда мятрев' саблюй.							Его крыша острая как чум.	Its roof is pointed like a chum (tent).
		Махалэйда	махалэй-да	махалы	roof-poss.3sg	NOUN			
		мятрев'	мят-рев'	мя	tent-equ	NOUN			
		саблюй.	саблюй	саблюй	peak	ADJ			
									
9	Сидя сидеранда си, нёнда си таня.							У неё два окна и есть дверь.	It has two windows and a door.
		Сидя	сидя	сидя	two	NUM			
		сидеранда	сидера-нда	"сидер"""	window-gen.poss.3sg	NOUN			
		си,	си	си	hole	NOUN			
		нёнда	нё-нда	нё	door-gen.poss.3sg	NOUN			
		си	си	си	hole	NOUN			
		таня.	таня	таня-	exist.3sg	VERB			
									
10	Нёнда си танцянзавэй.							Его дверь имеет летницу.	"Its door has stairs (""its door is bestaired"")."
		Нёнда	нё-нда	нё	door-gen.poss.3sg	NOUN			
		си	си	си	hole	NOUN			
		танцянзавэй.	танцян-завэй	"танцие"""	stairs-com	NOUN			
									
11	Танця' сер' танэйв'.							По лестнице я поднялся вверх.	I walk up the stairs.
		Танця'	танця'	"танцие"""	stairs	NOUN			
		сер'	сер'	сер'	when	ADP			
		танэйв'.	танэ-й-в'	тана	go.up-1sg.refl	VERB			
									
12	Нё' сивня мяттюдм'.							Зашел в дверь.	I go through the door.
		Нё'	нё-'	нё	door-gen	NOUN			
		сивня	си-вня	си	hole-prol	NOUN			
		мяттюдм'.	мя-т-тю-дм'	мят-тю-	enter-1sg	VERB	tent-dat_step.in-1sg		
									
13	Маха саблюй пирця харад' мюмня ирт' хаядм'.							Башню с острой крышей я прошел насквозь.	I walk through the tower with the pointed roof.
		Маха	маха	махалы	roof	NOUN			
		саблюй	саблюй	саблюй	peak	ADJ			
		пирця	пирця	пирця	tall	ADJ			
		харад'	харад-'	харад	house-gen	NOUN			
		мюмня	мюмня	мюмня	through	ADP			
		ирт'	ирт'	ирт'	straight	ADV			
		хаядм'.	хая-дм'	хая-	go-1sg	VERB			
									
14	"Няр"" мадав."							Поперек пересек ее.	I cross it.
		"Няр"""	"няр"""	"няр"""	across	ADV			
		мадав.	мада-в	мада-	pass.across-1sg.sg	VERB			
									
15	Няби нё' сивня тарпыв'.							Я вышел через другую дверь.	I go out the other door.
		Няби	няби	няби	other	PRON			
		нё'	нё-'	нё	door-gen	NOUN			
		сивня	си-вня	си	hole-prol	NOUN			
		тарпыв'.	тарпы-в'	тарпа-	walk.out-1sg.refl	VERB			
									
16	Харадм' хэхэдёйтав.							Я прошел дом насквозь.	I cross the house.
		Харадм'	харад-м'	харад	house-acc	NOUN			
		хэхэдёйтав.	хэхэдёйта-в	хэхэдёйта-	run.across-1sg.sg	VERB			
									
17	"Нё' сим' нэв, танця' сер' ха""амыв'."							Открыл дверь и спустился по лестнице.	I open the door and go down the stairs.
		Нё'	нё-'	нё	door-gen	NOUN			
		сим'	си-м'	си	hole-acc	NOUN			
		нэв,	нэ-в	нэ-	open-1sg.sg	VERB			
		танця'	танця'	"танцие"""	stairs	NOUN			
		сер'	сер'	сер'	when	ADP			
		"ха""амыв'."	"ха""амы-в'"	"ха""амы-"	go.down-1sg.refl	VERB			
									
18	Яда нэкалӈав, маханякубта мэв.							Я пошел пешком, повернул слегка вправо.	I walk and turn right.
		Яда	яда	яда	on.foot	ADV			
		нэкалӈав,	нэкал-ӈа-в	нэкал-	pull-1sg.sg	VERB			
		маханякубта	маханякубта	маханякубта	right.side	NOUN			
		мэв.	мэ-в	мэ-	take-1sg.sg	VERB			
									
19	Маханякубта' мимани' сер' яха' таркавна ӈадимядм'.							Пока шел слегка вправо, пришел на развилку реки.	As I walk to the right, I come to a fork in the river.
		Маханякубта'	маханякубта-'	маханякубта	right.side-gen	NOUN			
		мимани'	ми-ма-ни'	ми-	go-ipfv.an-gen.poss.1sg	NOUN	AN		
		сер'	сер'	сер'	when	ADP			
		яха'	яха-'	яха	river-gen	NOUN			
		таркавна	тарка-вна	тарка	fork-prol	NOUN			
		ӈадимядм'.	ӈадимя-дм'	ӈадим-	appear-1sg	VERB			
									
20	Няби яха' таркам' ӈохолё мадав.							Один рукав реки я переплыл вплавь.	I swim across the river.
		Няби	няби	няби	other	PRON			
		яха'	яха-'	яха	river-gen	NOUN			
		таркам'	тарка-м'	тарка	fork-acc	NOUN			
		ӈохолё	ӈохолё	ӈохолё	swim.cvb	ADV	CVB		
		мадав.	мада-в	мада-	pass.across-1sg.sg	VERB			
									
21	Тарканда пыя' ни' танэйв'.							Поднялся на его мыс на развилке.	I climb up at the end of the fork.
		Тарканда	тарка-нда	тарка	fork-gen.poss.3sg	NOUN			
		пыя'	пыя-'	пыя	end-gen	NOUN			
		ни'	ни'	ни'	at	ADP			
		танэйв'.	танэй-в'	танэй-	rise-1sg.refl	VERB			
									
22	"Тарканда пыям' мада""махадани' ӈани' ӈохолё нэкалӈав, яхам' мадав."							После того как я перешел его мыс на развилке дальше снова отправился вплавь, и пересек реку.	Having crossed the headland, I continue to swim, crossing the river.
		Тарканда	тарка-нда	тарка	fork-gen.poss.3sg	NOUN			
		пыям'	пыя-м'	пыя	end-acc	NOUN			
		"мада""махадани'"	"мада-""ма-хада-ни'"	мада-	pass.across-ipfv.an-abl-poss.1sg	NOUN	AN		
		ӈани'	ӈани'	ӈани'	again	ADV			
		ӈохолё	ӈохолё	ӈохолё	swim-cvb	ADV	CVB		
		нэкалӈав,	нэкал-ӈа-в	нэкал-	pull-co-1sg.sg	VERB			
		яхам'	яха-м'	яха	river-acc	NOUN			
		мадав.	мада-в	мада-	pass.across-1sg.sg	VERB			
									
23	"Тадтикахад ӈани' ялъява"" нерни' няна пям' манэ""ӈадм'."							Затем я снова пошел пешком и увидел впереди себя дерево.	As I walk I see a tree in front of me.
		Тадтикахад	тадтикахад	тадтикахад	afterwards	ADV			
		ӈани'	ӈани'	ӈани'	again	ADV			
		"ялъява"""	"ялъя-ва-"""	ялъя-	walk-ipfv.an-gen	NOUN	AN		
		нерни'	нерни'	нерни'	in.front.of-gen.1sg	ADP			
		няна	няна	няна	1sg.dat	PRON			
		пям'	пя-м'	пя	tree-acc	NOUN			
		"манэ""ӈадм'."	"манэ""-ӈа-дм'"	"манэ""-"	see-co-1sg	VERB			
									
24	Пям' маханяӈы хэвувнанда яля' пырдари' сюртев.							Дерево я обошел по кругу справа, против хода солнца.	I walk around the tree to the right, against the sun.
		Пям'	пя-м'	пя	tree-acc	NOUN			
		маханяӈы	маханяӈы	маханя-ӈы	from.right-adj	ADJ			
		хэвувнанда	хэву-вна-нда	хэв	side-prol-poss.3sg	NOUN			
		яля'	яля-'	яля	sun-gen	NOUN			
		пырдари'	пырдари'	пырдари'	against	ADJ			
		сюртев.	сюрте-в	сюрте-	go.around-1sg.sg	VERB			
									
25	"Тамна тяха"" ялъяв', ядвани' сер' пулм' манэ""ӈадм'."							Направился пешком дальше, пока я шел, увидел мост.	I keep going, and as I go I see a bridge.
		Тамна	тамна	тамна	even	ADV			
		"тяха"""	"тяха"""	"тяха"""	further	ADV			
		ялъяв',	ялъя-в'	ялъя-	walk-1sg.refl	VERB			
		ядвани'	яд-ва-ни'	яд-	walk-ipfv.an-gen.poss.1sg	NOUN	AN		
		сер'	сер'	сер'	when	ADP			
		пулм'	пул-м'	пул	bridge-acc	NOUN			
		"манэ""ӈадм'."	"манэ""-ӈа-дм'"	"манэ""-"	see-co-1sg	VERB			
									
26	Пул' сер' яхам' няби' ня' мадав.							Перешел реку по мосту на другую сторону.	I cross the river on the bridge to the other side.
		Пул'	пул-'	пул	bridge-gen	NOUN			
		сер'	сер'	сер'	when	ADP			
		яхам'	яха-м'	яха	river-acc	NOUN			
		няби'	няби'	няби	other	PRON			
		ня'	ня'	ня'	to	ADP			
		мадав.	мада-в	мада-	pass.across-1sg.sg	VERB			
									
27	Тадтикахад сятанякубта' мэхэя тамна тяха' ялъяв'.							После этого слегка повернув влево я пошел дальше.	Then I keep walking and turn left.
		Тадтикахад	тадтикахад	тадтикахад	afterwards	ADV			
		сятанякубта'	сятанякубта-'	сятанякубта	left.side-gen	NOUN			
		мэхэя	мэ-хэя	мэ-	take-intens.cvb	ADV	CVB		
		тамна	тамна	тамна	even	ADV			
		тяха'	тяха'	тяха'	further	ADV			
		ялъяв'.	ялъя-в'	ялъя-	walk-1sg.refl	VERB			
									
28	Тадтикахад маряд' нё сивня тарпыв'.							А затем вышел в ворота забора.	Then I go through the gate of the fence.
		Тадтикахад	тадтикахад	тадтикахад	afterwards	ADV			
		маряд'	маря-д'	"мар"""	fence-gen.poss.2sg	NOUN			
		нё	нё	нё	door	NOUN			
		сивня	си-вня	си	hole-prol	NOUN			
		тарпыв'.	тарпы-в'	тарпа-	go.out-1sg.refl	VERB			